ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.3942;7.35499;5.47793;2.24402;7.05475;6.43158;0.15018;0.30024;-0.95365;0.49;-6.86;0.245;0.0;4.86;20.1;-3.42;338.866;-45.978;-19.088;8.0;1012.509;72.5806;32.674934;34.938858;30.159;10.6514301;;106.433;16.0;16.846;9 / 10;7;2015-08-10 00:23:04:949
2.43251;7.23049;5.08528;2.09379;7.32779;6.17171;-0.23589;1.00404;-1.83342;-0.945;-3.028;-0.612;0.0;4.68;19.68;-2.94;338.153;-48.351;-18.74;8.0;1012.222;71.9508;32.675438;34.939037;30.405;10.6514301;;106.912;16.0;18.741;9 / 10;657;2015-08-10 00:23:05:599
2.54743;7.3071;4.97994;2.39204;7.27601;6.1244;-0.11276;0.34713;-1.336;-4.462;-0.385;0.98;0.0;3.78;19.74;-2.88;341.513;-48.0;-21.103;8.0;1012.109;66.189;32.675438;34.939037;30.405;10.6514301;;106.912;16.0;18.741;9 / 10;1307;2015-08-10 00:23:06:249
2.44209;8.29351;5.12359;2.46312;7.24746;6.13008;0.16093;0.87367;-0.98733;-2.625;1.015;2.888;0.0;4.2;19.86;-3.6;341.004;-47.649;-21.891;8.0;1012.111;69.0145;32.67569;34.939137;30.876;10.6514301;;108.968;16.0;19.242;9 / 10;1957;2015-08-10 00:23:06:899
1.96325;7.16345;4.69264;2.42503;7.24146;6.1523;-0.60544;-0.09716;-1.58417;-8.382;-3.272;-1.627;0.0;3.36;19.38;-2.34;345.197;-47.72;-21.602;8.0;1012.168;68.3833;32.67594;34.939255;31.226;10.6514301;;109.329;16.0;20.826;10 / 11;2608;2015-08-10 00:23:07:550
2.16436;7.54652;5.63116;2.26172;7.25192;6.20199;-0.05905;0.10306;-1.48062;9.695;-0.315;-7.035;0.0;3.36;19.44;-2.76;344.757;-47.688;-20.036;8.0;1012.212;72.826;32.67594;34.939255;31.226;10.6514301;;109.329;16.0;20.826;10 / 11;3257;2015-08-10 00:23:08:199
1.97282;7.79552;4.55856;2.19596;7.22177;6.26053;-0.20399;0.60248;-1.49127;-6.02;3.605;-5.355;0.0;3.72;19.2;-2.22;341.512;-47.427;-19.329;8.0;1012.095;67.5258;32.676193;34.93938;31.498;10.6514301;;109.539;16.0;21.88;11 / 12;3907;2015-08-10 00:23:08:849
2.33674;7.73806;4.38618;2.275;7.35782;6.07102;-0.02445;-0.32844;-1.23473;4.41;0.525;-3.342;0.0;3.18;20.1;-2.76;345.253;-48.47;-19.968;8.0;1012.23;66.9122;32.67644;34.939503;31.733;10.6514301;;109.254;16.0;22.732;10 / 11;4557;2015-08-10 00:23:09:499
2.806;8.4659;5.34386;2.35265;7.15437;6.28096;-0.53306;1.29238;-0.25715;5.128;-3.745;1.925;0.0;2.58;19.62;-1.98;346.259;-46.608;-20.324;8.0;1012.041;70.8598;32.67644;34.939503;31.733;10.6514301;;109.254;16.0;22.732;10 / 11;5207;2015-08-10 00:23:10:149
1.97282;7.47949;4.61602;2.09024;7.39495;6.0923;-0.44303;0.69746;-2.06046;-8.837;0.28;-2.1;0.0;2.82;18.84;-2.04;345.173;-48.945;-18.937;8.0;1012.23;72.1138;32.67669;34.939636;32.421;10.6514301;;108.064;16.0;23.597;10 / 11;5857;2015-08-10 00:23:10:799
