a,b,c,d,e,f,g
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,-2.024524999999999686e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.999999999999569900e+00,-1.729840607949056256e-10,-2.024524999999999686e+00,1.014130912928216583e-14,-1.453927225056565431e-06,-5.815709669440794968e-04
1.000000000000000021e-02,1.999999999997632782e+00,-9.320964231710943752e-10,-2.024525000000000130e+00,2.310649778781843028e-14,-5.815768252855315132e-06,-1.163195800268143100e-03
1.499999999999999944e-02,1.999999999985689003e+00,-3.303354699562380533e-09,-2.024524999999995689e+00,1.181755586080729606e-12,-1.308630425384266357e-05,-1.744968785386772931e-03
2.000000000000000042e-02,1.999999999957774888e+00,-7.526471219854358331e-09,-2.024524999999970376e+00,5.472975253794547328e-12,-2.326608317124416057e-05,-2.326911938923658524e-03
2.500000000000000139e-02,1.999999999899380931e+00,-1.447547646319812436e-08,-2.024524999999892660e+00,1.683658594264498660e-11,-3.635643823584716979e-05,-2.909105559447092322e-03
2.999999999999999889e-02,1.999999999798814043e+00,-2.495841876853924953e-08,-2.024524999999741670e+00,3.812881652971219865e-11,-5.235844391169790322e-05,-3.491623888957459849e-03
3.500000000000000333e-02,1.999999999636868697e+00,-3.969725552103696497e-08,-2.024524999999428587e+00,7.744680081422237826e-11,-7.127386466795153082e-05,-4.074533222470210631e-03
4.000000000000000083e-02,1.999999999385631666e+00,-5.931417549019192655e-08,-2.024524999998784658e+00,1.489612239487525461e-10,-9.310526460312591984e-05,-4.657890645442161123e-03
4.499999999999999833e-02,1.999999999023718500e+00,-8.450616661282100102e-08,-2.024524999997701524e+00,2.622892691566022902e-10,-1.178546083124773762e-04,-5.241760147979578933e-03
5.000000000000000278e-02,1.999999998523327882e+00,-1.159718019798555953e-07,-2.024524999995928276e+00,4.341473155237646916e-10,-1.455244490869827276e-04,-5.826205819097102744e-03
5.500000000000000028e-02,1.999999997844584820e+00,-1.544115152939811089e-07,-2.024524999992951990e+00,6.945725181273412289e-10,-1.761184480932277620e-04,-6.411291831037521302e-03
5.999999999999999778e-02,1.999999996955196702e+00,-2.005245718354935092e-07,-2.024524999988424501e+00,1.065236883925997599e-09,-2.096395707768004065e-04,-6.997082303778216945e-03
6.500000000000000222e-02,1.999999995813454223e+00,-2.550124550316297622e-07,-2.024524999981598405e+00,1.582374510106584100e-09,-2.460916453133281498e-04,-7.583641468140099942e-03
7.000000000000000666e-02,1.999999994382029245e+00,-3.185756265574653639e-07,-2.024524999971909711e+00,2.275500431599129448e-09,-2.854780985575497421e-04,-8.171033503985300830e-03
7.499999999999999722e-02,1.999999992604783117e+00,-3.919189358821514423e-07,-2.024524999958007943e+00,3.202983903255980214e-09,-3.278040807893981825e-04,-8.759322810012397376e-03
8.000000000000000167e-02,1.999999990438831921e+00,-4.757444313394803001e-07,-2.024524999938928094e+00,4.405475709748207553e-09,-3.730735268138695164e-04,-9.348573643922275522e-03
8.500000000000000611e-02,1.999999987825211711e+00,-5.707590877433405837e-07,-2.024524999912354684e+00,5.958859929530197948e-09,-4.212918406277207689e-04,-9.938850503888176785e-03
8.999999999999999667e-02,1.999999984707480083e+00,-6.776687288929007847e-07,-2.024524999876402109e+00,7.930093197957681606e-09,-4.724641971937379773e-04,-1.053021783318236829e-02
9.500000000000000111e-02,1.999999981025580631e+00,-7.971800319487007787e-07,-2.024524999829028005e+00,1.039176905128561041e-08,-5.265961025206968450e-04,-1.112274011759116152e-02
1.000000000000000056e-01,1.999999976714779581e+00,-9.300008751984188317e-07,-2.024524999767930655e+00,1.342464488770055096e-08,-5.836934908390559607e-04,-1.171648190231672389e-02
1.049999999999999961e-01,1.999999971705665569e+00,-1.076840338056871494e-06,-2.024524999690549443e+00,1.711764196732068127e-08,-6.437627246009564735e-04,-1.231150779197708219e-02
1.100000000000000006e-01,1.999999965924777801e+00,-1.238408949073732771e-06,-2.024524999593828145e+00,2.157033569168164352e-08,-7.068105353076092109e-04,-1.290788246464315801e-02
1.150000000000000050e-01,1.999999959300125862e+00,-1.415420861647292842e-06,-2.024524999472150810e+00,2.691480224387592247e-08,-7.728435044017676952e-04,-1.350567079498226492e-02
1.199999999999999956e-01,1.999999951753277605e+00,-1.608590735145999786e-06,-2.024524999320300278e+00,3.328430150238296568e-08,-8.418688074066443209e-04,-1.410493767773229705e-02
1.250000000000000000e-01,1.999999943200559072e+00,-1.818634207619487645e-06,-2.024524999133014092e+00,4.081802359729095325e-08,-9.138941011409220825e-04,-1.470574805445676314e-02
1.300000000000000044e-01,1.999999933554167386e+00,-2.046268334477983561e-06,-2.024524998904563056e+00,4.966549375040210847e-08,-9.889274190534303160e-04,-1.530816693837365808e-02
1.350000000000000089e-01,1.999999922722169865e+00,-2.292211588492312013e-06,-2.024524998628754346e+00,5.998657227523274411e-08,-1.066977171223146325e-03,-1.591225941435546812e-02
1.400000000000000133e-01,1.999999910608657894e+00,-2.557183911581598688e-06,-2.024524998298839140e+00,7.195217695515703173e-08,-1.148052129768663797e-03,-1.651809064297283386e-02
1.449999999999999900e-01,1.999999897119082881e+00,-2.841908512933915040e-06,-2.024524997904314283e+00,8.576936473071898065e-08,-1.232160922250465172e-03,-1.712572600089460467e-02
1.499999999999999944e-01,1.999999882154795738e+00,-3.147110028985760285e-06,-2.024524997434195228e+00,1.016556655578694876e-07,-1.319312550073410435e-03,-1.773523093721619814e-02
1.549999999999999989e-01,1.999999865611641114e+00,-3.473514049370848709e-06,-2.024524996877858030e+00,1.198324699461189057e-07,-1.409516522044662254e-03,-1.834667093644489627e-02
1.600000000000000033e-01,1.999999847381876972e+00,-3.821847764083277344e-06,-2.024524996223887818e+00,1.405340561304316366e-07,-1.502782672043656434e-03,-1.896011156903138969e-02
1.650000000000000078e-01,1.999999827354175030e+00,-4.192839963477525121e-06,-2.024524995460081911e+00,1.640075900712262762e-07,-1.599121159022104085e-03,-1.957561849136976381e-02
1.700000000000000122e-01,1.999999805413620768e+00,-4.587221038286500607e-06,-2.024524994573445369e+00,1.905131258066331651e-07,-1.698542467004299965e-03,-2.019325744579924045e-02
1.750000000000000167e-01,1.999999781441291313e+00,-5.005724405826862238e-06,-2.024524993546774176e+00,2.203514447020621547e-07,-1.801057429552647797e-03,-2.081309439721853657e-02
1.799999999999999933e-01,1.999999755314424865e+00,-5.449085941237460378e-06,-2.024524992360016817e+00,2.538529533354929471e-07,-1.906677220010965894e-03,-2.143519547860495492e-02
1.849999999999999978e-01,1.999999726906917408e+00,-5.918042292179432517e-06,-2.024524990994317708e+00,2.913447867722148551e-07,-2.015413322594381950e-03,-2.205962682958164528e-02
1.900000000000000022e-01,1.999999696089022505e+00,-6.413331895584907002e-06,-2.024524989429578703e+00,3.331706553013593989e-07,-2.127277549830921145e-03,-2.268645469381064608e-02
1.950000000000000067e-01,1.999999662727351746e+00,-6.935694977657017442e-06,-2.024524987644458207e+00,3.796908444359016553e-07,-2.242282042561509828e-03,-2.331574541899291211e-02
2.000000000000000111e-01,1.999999626684874743e+00,-7.485873553869896770e-06,-2.024524985616372064e+00,4.312822149126593848e-07,-2.360439269939972919e-03,-2.394756545686829718e-02
2.050000000000000155e-01,1.999999587821004177e+00,-8.064611353162481924e-06,-2.024524983322365301e+00,4.883321397490543793e-07,-2.481762024116564852e-03,-2.458198133641820507e-02
